Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
3059,3059,0,-15830,8197,-8191,-27136,-39029,5310
3060,3060,0,-16385,14193,8193,14848,-40916,-5111
3061,3061,0,-15826,16384,16384,29952,7607,-14702
3062,3062,0,-14189,14183,8188,-8192,26414,-10963
3063,3063,0,-11584,8182,-8196,-31744,-13243,-2990
3064,3064,0,-8189,-13,-16385,2048,-41286,-5927
3065,3065,0,-4238,-8205,-8191,32256,-10245,-15508
3066,3066,0,3,-14197,8193,5120,21867,-16131
3067,3067,0,4245,-16385,16384,-31232,72,-8648
3068,3068,0,8197,-14189,8188,-11264,-31084,-7549
3069,3069,0,11589,-8189,-8196,28928,-8115,-14377
3070,3070,0,14193,3,-16385,17664,34373,-14609
3071,3071,0,15827,8197,-8191,-25088,27761,-4190
3072,3072,0,16384,14193,8193,-22528,-7211,3274
3073,3073,0,15823,16384,16384,20736,3000,1062
3074,3074,0,14183,14183,8188,27136,48847,1679
3075,3075,0,11578,8182,-8196,-14848,50457,13680
3076,3076,0,8182,-13,-16385,-29952,-1228,24584
3077,3077,0,4230,-8205,-8191,8192,-25874,21204
3078,3078,0,-13,-14197,8193,31744,6271,12085
3079,3079,0,-4254,-16385,16384,-2048,26680,12142
3080,3080,0,-8205,-14189,8188,-32256,-10399,17294
3081,3081,0,-11596,-8189,-8196,-5120,-45509,12532
3082,3082,0,-14197,3,-16385,31232,-22860,-412
3083,3083,0,-15830,8197,-8191,11264,12939,-6076
3084,3084,0,-16385,14193,8193,-28928,-2516,-2082
3085,3085,0,-15826,16384,16384,-17664,-36169,-2451
