freq Xk_re Xk_im Xk_mag Xk_err
2.55e+07 -1.20421 2.08576 2.40843 -0.961771
2.551e+07 -1.29755 2.16404 2.52323 -0.959949
2.552e+07 -1.39319 2.2387 2.63681 -0.958146
2.553e+07 -1.49097 2.30962 2.74906 -0.956364
2.554e+07 -1.59074 2.37664 2.85987 -0.954605
2.555e+07 -1.69235 2.43963 2.96915 -0.952871
2.556e+07 -1.79563 2.49848 3.0768 -0.951162
2.557e+07 -1.90041 2.55306 3.18272 -0.949481
2.558e+07 -2.00653 2.60326 3.28682 -0.947828
2.559e+07 -2.11382 2.64899 3.389 -0.946206
2.56e+07 -2.22209 2.69013 3.48919 -0.944616
2.561e+07 -2.33117 2.7266 3.5873 -0.943059
2.562e+07 -2.44088 2.75833 3.68325 -0.941536
2.563e+07 -2.55105 2.78525 3.77696 -0.940048
2.564e+07 -2.66148 2.80728 3.86837 -0.938597
2.565e+07 -2.772 2.82437 3.9574 -0.937184
2.566e+07 -2.88242 2.83647 4.044 -0.93581
2.567e+07 -2.99255 2.84356 4.12809 -0.934475
2.568e+07 -3.10221 2.84559 4.20964 -0.93318
2.569e+07 -3.21122 2.84255 4.28859 -0.931927
2.57e+07 -3.31939 2.83442 4.36489 -0.930716
2.571e+07 -3.42654 2.82121 4.43851 -0.929547
2.572e+07 -3.53248 2.80292 4.50941 -0.928422
2.573e+07 -3.63703 2.77956 4.57755 -0.92734
2.574e+07 -3.74002 2.75116 4.64292 -0.926303
2.575e+07 -3.84127 2.71776 4.70548 -0.92531
2.576e+07 -3.9406 2.67939 4.76523 -0.924361
2.577e+07 -4.03784 2.63611 4.82216 -0.923458
2.578e+07 -4.13282 2.58797 4.87625 -0.922599
2.579e+07 -4.22537 2.53505 4.9275 -0.921786
2.58e+07 -4.31534 2.47742 4.97592 -0.921017
2.581e+07 -4.40257 2.41517 5.02152 -0.920293
2.582e+07 -4.48689 2.3484 5.0643 -0.919614
2.583e+07 -4.56816 2.27721 5.10429 -0.918979
2.584e+07 -4.64624 2.2017 5.14151 -0.918389
2.585e+07 -4.72099 2.12201 5.17597 -0.917842
2.586e+07 -4.79227 2.03825 5.20772 -0.917338
2.587e+07 -4.85995 1.95056 5.23677 -0.916877
2.588e+07 -4.92391 1.85908 5.26318 -0.916457
2.589e+07 -4.98404 1.76397 5.28698 -0.91608
2.59e+07 -5.04021 1.66537 5.30822 -0.915743
2.591e+07 -5.09233 1.56346 5.32694 -0.915445
2.592e+07 -5.1403 1.4584 5.34319 -0.915187
2.593e+07 -5.18403 1.35037 5.35702 -0.914968
2.594e+07 -5.22344 1.23954 5.3685 -0.914786
2.595e+07 -5.25844 1.12612 5.37767 -0.91464
2.596e+07 -5.28897 1.01028 5.3846 -0.91453
2.597e+07 -5.31497 0.892224 5.38934 -0.914455
2.598e+07 -5.33639 0.77216 5.39196 -0.914413
2.599e+07 -5.35317 0.65029 5.39252 -0.914404
2.6e+07 -5.36527 0.526825 5.39108 -0.914427
2.601e+07 -5.37268 0.401978 5.3877 -0.914481
2.602e+07 -5.37537 0.275967 5.38245 -0.914564
2.603e+07 -5.37331 0.149012 5.37538 -0.914677
2.604e+07 -5.36652 0.0213341 5.36656 -0.914817
2.605e+07 -5.35498 -0.106841 5.35604 -0.914983
2.606e+07 -5.33871 -0.235289 5.34389 -0.915176
2.607e+07 -5.31774 -0.36378 5.33016 -0.915394
2.608e+07 -5.29207 -0.492088 5.3149 -0.915636
2.609e+07 -5.26177 -0.619983 5.29817 -0.915902
2.61e+07 -5.22686 -0.747237 5.28 -0.916191
2.611e+07 -5.18739 -0.873621 5.26044 -0.916501
2.612e+07 -5.14344 -0.998907 5.23954 -0.916833
2.613e+07 -5.09506 -1.12287 5.21733 -0.917185
2.614e+07 -5.04234 -1.24528 5.19384 -0.917558
2.615e+07 -4.98536 -1.36592 5.1691 -0.917951
2.616e+07 -4.92421 -1.48456 5.14313 -0.918363
2.617e+07 -4.85899 -1.601 5.11595 -0.918794
2.618e+07 -4.78981 -1.715 5.08758 -0.919245
2.619e+07 -4.71678 -1.82637 5.05802 -0.919714
2.62e+07 -4.64002 -1.93489 5.02728 -0.920202
2.621e+07 -4.55967 -2.04035 4.99536 -0.920709
2.622e+07 -4.47586 -2.14257 4.96225 -0.921234
2.623e+07 -4.38873 -2.24135 4.92794 -0.921779
2.624e+07 -4.29843 -2.3365 4.89242 -0.922343
2.625e+07 -4.20512 -2.42783 4.85566 -0.922926
2.626e+07 -4.10896 -2.51517 4.81764 -0.92353
2.627e+07 -4.01011 -2.59835 4.77833 -0.924154
2.628e+07 -3.90875 -2.67721 4.73769 -0.924799
2.629e+07 -3.80505 -2.75158 4.6957 -0.925465
2.63e+07 -3.69919 -2.82133 4.6523 -0.926154
2.631e+07 -3.59137 -2.8863 4.60746 -0.926866
2.632e+07 -3.48177 -2.94637 4.56112 -0.927601
2.633e+07 -3.37059 -3.0014 4.51323 -0.928361
2.634e+07 -3.25802 -3.05129 4.46375 -0.929147
2.635e+07 -3.14427 -3.09592 4.41262 -0.929958
2.636e+07 -3.02955 -3.1352 4.35978 -0.930797
2.637e+07 -2.91405 -3.16903 4.30517 -0.931664
2.638e+07 -2.79799 -3.19733 4.24873 -0.93256
2.639e+07 -2.68159 -3.22004 4.19041 -0.933486
2.64e+07 -2.56504 -3.23708 4.13015 -0.934442
2.641e+07 -2.44858 -3.24841 4.06789 -0.93543
2.642e+07 -2.33241 -3.25399 4.00357 -0.936451
2.643e+07 -2.21675 -3.25377 3.93713 -0.937506
2.644e+07 -2.10181 -3.24775 3.86852 -0.938595
2.645e+07 -1.98781 -3.2359 3.79769 -0.939719
2.646e+07 -1.87497 -3.21823 3.72458 -0.94088
2.647e+07 -1.76349 -3.19474 3.64915 -0.942077
2.648e+07 -1.65359 -3.16546 3.57135 -0.943312
2.649e+07 -1.54549 -3.13041 3.49113 -0.944585
2.65e+07 -1.43938 -3.08963 3.40846 -0.945897
2.651e+07 -1.33548 -3.04317 3.32331 -0.947249
2.652e+07 -1.23399 -2.99109 3.23564 -0.948641
2.653e+07 -1.13511 -2.93346 3.14542 -0.950073
2.654e+07 -1.03903 -2.87037 3.05264 -0.951545
2.655e+07 -0.945943 -2.80189 2.95726 -0.953059
2.656e+07 -0.856042 -2.72814 2.85929 -0.954614
2.657e+07 -0.769509 -2.64922 2.75871 -0.956211
2.658e+07 -0.686521 -2.56525 2.65552 -0.957849
2.659e+07 -0.607251 -2.47636 2.54972 -0.959528
2.66e+07 -0.531867 -2.38268 2.44132 -0.961249
2.661e+07 -0.46053 -2.28437 2.33033 -0.963011
2.662e+07 -0.393395 -2.18158 2.21677 -0.964813
2.663e+07 -0.33061 -2.07448 2.10065 -0.966656
2.664e+07 -0.272318 -1.96323 1.98202 -0.968539
2.665e+07 -0.218652 -1.84801 1.8609 -0.970462
2.666e+07 -0.169741 -1.72903 1.73734 -0.972423
2.667e+07 -0.125703 -1.60646 1.61137 -0.974423
2.668e+07 -0.086651 -1.48052 1.48306 -0.976459
2.669e+07 -0.0526876 -1.35142 1.35244 -0.978533
2.67e+07 -0.0239084 -1.21936 1.21959 -0.980641
2.671e+07 -0.000400361 -1.08458 1.08458 -0.982785
2.672e+07 0.0177585 -0.947292 0.947458 -0.984961
2.673e+07 0.030499 -0.807742 0.808318 -0.98717
2.674e+07 0.0377609 -0.666164 0.667234 -0.989409
2.675e+07 0.0394932 -0.522801 0.524291 -0.991678
2.676e+07 0.0356541 -0.377901 0.379579 -0.993975
2.677e+07 0.0262115 -0.231712 0.23319 -0.996299
2.678e+07 0.0111425 -0.0844914 0.0852229 -0.998647
2.679e+07 -0.00956609 0.0635058 0.0642222 -0.998981
2.68e+07 -0.0359177 0.212019 0.21504 -0.996587
2.681e+07 -0.067906 0.360788 0.367123 -0.994173
2.682e+07 -0.105515 0.509549 0.520359 -0.99174
2.683e+07 -0.148719 0.658038 0.674634 -0.989292
2.684e+07 -0.197483 0.805989 0.82983 -0.986828
2.685e+07 -0.251761 0.953139 0.985829 -0.984352
2.686e+07 -0.311499 1.09922 1.14251 -0.981865
2.687e+07 -0.376631 1.24397 1.29974 -0.979369
2.688e+07 -0.447083 1.38713 1.4574 -0.976867
2.689e+07 -0.522772 1.52844 1.61537 -0.974359
2.69e+07 -0.603604 1.66763 1.77351 -0.971849
2.691e+07 -0.689477 1.80445 1.93169 -0.969338
2.692e+07 -0.780279 1.93865 2.08979 -0.966829
2.693e+07 -0.87589 2.06998 2.24766 -0.964323
2.694e+07 -0.976179 2.19819 2.40519 -0.961822
